Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25910c	FR03484062	CRC0446PRX	CRC0446PR	Xenograft from primary CRC 
PD25911a	FR03484057	CRC0445PRX	CRC0445PR	Xenograft from primary CRC 
PD25912a	FR03484065	CRC0449LMX	CRC0449LM	Xenograft from CRC metastasis
PD25912c	FR03484016	CRC0449PRX	CRC0449PR	Xenograft from primary CRC 
PD25912d2	FR03479920	CRC0557LMX	CRC0557LM	Xenograft from CRC metastasis
PD25913a	FR03483668	CRC0460PRH	CRC0460PR	Original primary CRC 
PD25913c2	FR03479850	CRC0460PRX	CRC0460PR	Xenograft from primary CRC 
PD25914a2	FR03479858	CRC0463PRX	CRC0463PR	Xenograft from primary CRC 
PD25915a2	FR03479898	CRC0470PRX	CRC0470PR	Xenograft from primary CRC 
PD25916a2	FR03479927	CRC0465LMX	CRC0465LM	Xenograft from CRC metastasis
PD25917a2	FR03479935	CRC0468LMX	CRC0468LM	Xenograft from CRC metastasis
PD25917c2	FR03479874	CRC0468PRX	CRC0468PR	Xenograft from primary CRC 
PD25918a	FR03483621	CRC0473PRH	CRC0473PR	Original primary CRC 
PD25918c2	FR03479867	CRC0473PRX	CRC0473PR	Xenograft from primary CRC 
PD25919a2	FR03479906	CRC0472PRX	CRC0472PR	Xenograft from primary CRC 
PD25920a2	FR03479873	CRC0481LMX	CRC0481LM	Xenograft from CRC metastasis
PD25920c2	FR03479914	CRC0481PRX	CRC0481PR	Xenograft from primary CRC 
PD25921a2	FR03479842	CRC0456LMX	CRC0456LM	Xenograft from CRC metastasis
PD25922a2	FR03479889	CRC0486LMX	CRC0486LM	Xenograft from CRC metastasis
PD25923a	FR03483645	CRC0490LMH	CRC0490LM	Original CRC metastasis
PD25923c2	FR03479910	CRC0490LMX	CRC0490LM	Xenograft from CRC metastasis
PD25924a	FR03483637	CRC0491PRH	CRC0491PR	Original primary CRC 
PD25924c2	FR03479922	CRC0491PRX	CRC0491PR	Xenograft from primary CRC 
PD25925a2	FR03479847	CRC0495LMX	CRC0495LM	Xenograft from CRC metastasis
PD25926a	FR03484030	CRC0409PRX	CRC0409PR	Xenograft from primary CRC 
PD25927a	FR03483998	CRC0393PRX	CRC0393PR	Xenograft from primary CRC 
PD25928a	FR03483644	CRC0401PRH	CRC0401PR	Original primary CRC 
PD25928c	FR03484022	CRC0401PRX	CRC0401PR	Xenograft from primary CRC 
PD25929a	FR03484038	CRC0439PRX	CRC0439PR	Xenograft from primary CRC 
PD25930a	FR03484025	CRC0438LMX	CRC0438LM	Xenograft from CRC metastasis
PD25931a	FR03483982	CRC0381PRX	CRC0381PR	Xenograft from primary CRC 
PD25932a2	FR03479882	CRC0428PRX	CRC0428PR	Xenograft from primary CRC 
PD25933a	FR03483996	CRC0313LMX	CRC0313LM	Xenograft from CRC metastasis
PD25934a	FR03483673	CRC0288PRH	CRC0288PR	Original primary CRC 
PD25934c	FR03484042	CRC0288PRX	CRC0288PR	Xenograft from primary CRC 
PD25935a2	FR03479883	CRC0500PRX	CRC0500PR	Xenograft from primary CRC 
PD25936a2	FR03479907	CRC0501PRX	CRC0501PR	Xenograft from primary CRC 
